latitude,longitude,empty_slots,free_bikes,timestamp,last_updated,extra_normal_bikes,extra_ebikes,extra_slots,extra_has_ebikes,total_bike_slots
49.285953,-123.124066,7,5,2024-05-22T04:41:23.221000Z,1716352521,3,2,12,True,12
49.280881,-123.130672,2,14,2024-05-22T04:41:23.208000Z,1716352593,11,3,16,True,16
49.256845,-123.120071,0,11,2024-05-22T04:41:23.183000Z,1716352830,10,1,12,True,11
49.25849,-123.104799,5,11,2024-05-22T04:41:23.165000Z,1716352573,7,4,16,True,16
49.258425,-123.100792,6,8,2024-05-22T04:41:23.151000Z,1716352403,6,2,14,True,14
49.270905,-123.126006,14,4,2024-05-22T04:41:23.157000Z,1716352742,2,2,18,True,18
49.273568,-123.129935,13,5,2024-05-22T04:41:23.159000Z,1716351305,5,0,18,True,18
49.277141,-123.122589,16,2,2024-05-22T04:41:23.605000Z,1716352393,2,0,18,True,18
49.267859,-123.145782,9,7,2024-05-22T04:41:23.621000Z,1716352334,7,0,16,True,16
49.265336,-123.145823,6,10,2024-05-22T04:41:23.186000Z,1716352705,6,4,16,True,16
49.267628,-123.127698,5,9,2024-05-22T04:41:23.187000Z,1716352382,9,0,14,True,14
49.275938,-123.145939,5,11,2024-05-22T04:41:23.196000Z,1716352705,10,1,16,True,16
49.2756,-123.102661,10,8,2024-05-22T04:41:23.203000Z,1716352746,8,0,18,True,18
49.284157,-123.099917,16,4,2024-05-22T04:41:23.559000Z,1716352731,4,0,20,True,20
49.258924,-123.152591,10,10,2024-05-22T04:41:23.627000Z,1716352838,7,3,20,True,20
49.266774,-123.141135,11,4,2024-05-22T04:41:23.629000Z,1716352837,4,0,16,True,15
49.273355,-123.154493,16,20,2024-05-22T04:41:23.623000Z,1716352333,14,6,36,True,36
49.276144,-123.151272,14,17,2024-05-22T04:41:23.624000Z,1716352414,16,1,31,True,31
49.268339,-123.157443,4,14,2024-05-22T04:41:23.646000Z,1716352392,5,9,18,True,18
49.284062,-123.095097,9,5,2024-05-22T04:41:23.499000Z,1716352617,4,1,14,True,14
49.261742,-123.13148,9,6,2024-05-22T04:41:23.606000Z,1716352440,1,5,14,True,15
49.262206,-123.109091,11,3,2024-05-22T04:41:23.456000Z,1716352642,2,1,14,True,14
49.27023,-123.10651,13,13,2024-05-22T04:41:23.458000Z,1716352765,9,4,28,True,26
49.262062,-123.104656,8,12,2024-05-22T04:41:23.464000Z,1716352818,8,4,20,True,20
49.27033,-123.10275,8,9,2024-05-22T04:41:23.465000Z,1716352548,9,0,18,True,17
49.258902,-123.109596,6,8,2024-05-22T04:41:23.468000Z,1716352839,7,1,14,True,14
49.265071,-123.123864,2,12,2024-05-22T04:41:23.447000Z,1716352842,8,4,14,True,14
49.265198,-123.131043,8,8,2024-05-22T04:41:23.438000Z,1716352754,6,2,16,True,16
49.273691,-123.102232,4,12,2024-05-22T04:41:23.439000Z,1716352401,11,1,16,True,16
49.2685027,-123.0975014,8,12,2024-05-22T04:41:23.448000Z,1716352406,10,2,20,True,20
49.288682,-123.11818,15,3,2024-05-22T04:41:23.359000Z,1716352406,2,1,18,True,18
49.271741,-123.155421,6,15,2024-05-22T04:41:23.349000Z,1716352379,11,4,20,True,21
49.262822,-123.14338,14,5,2024-05-22T04:41:23.353000Z,1716352400,5,0,20,True,19
49.263635,-123.099236,0,12,2024-05-22T04:41:23.344000Z,1716352409,9,3,12,True,12
49.28763,-123.127245,9,10,2024-05-22T04:41:23.345000Z,1716352601,9,1,20,True,19
49.297933,-123.130758,8,12,2024-05-22T04:41:23.374000Z,1716352480,9,3,20,True,20
49.258819,-123.131317,10,4,2024-05-22T04:41:23.429000Z,1716352321,3,1,14,True,14
49.280284,-123.097052,10,4,2024-05-22T04:41:23.560000Z,1716352843,0,4,14,True,14
49.276294,-123.106534,9,9,2024-05-22T04:41:23.609000Z,1716352826,8,1,18,True,18
49.277469,-123.081315,7,7,2024-05-22T04:41:23.584000Z,1716352585,5,2,14,True,14
49.277665,-123.073653,13,9,2024-05-22T04:41:23.369000Z,1716352548,9,0,22,True,22
49.277436,-123.070427,3,13,2024-05-22T04:41:23.587000Z,1716352713,9,4,16,True,16
49.280332,-123.070068,12,4,2024-05-22T04:41:23.596000Z,1716352312,4,0,16,True,16
49.279369,-123.091241,8,6,2024-05-22T04:41:23.580000Z,1716352381,4,2,14,True,14
49.283992,-123.091206,10,10,2024-05-22T04:41:23.375000Z,1716352750,8,2,20,True,20
49.274881,-123.069323,8,6,2024-05-22T04:41:23.205000Z,1716352724,6,0,14,True,14
49.275882,-123.071865,6,7,2024-05-22T04:41:23.202000Z,1716352488,7,0,14,True,13
49.273777,-123.092723,8,6,2024-05-22T04:41:23.253000Z,1716352290,6,0,14,True,14
49.265005,-123.079481,17,10,2024-05-22T04:41:23.505000Z,1716352708,10,0,28,True,27
49.271377,-123.069416,12,2,2024-05-22T04:41:23.560000Z,1716352599,2,0,14,True,14
49.268616,-123.069908,17,5,2024-05-22T04:41:23.542000Z,1716352385,5,0,22,True,22
49.266969,-123.069936,8,6,2024-05-22T04:41:23.544000Z,1716352388,6,0,14,True,14
49.263242,-123.070521,15,5,2024-05-22T04:41:23.366000Z,1716351677,5,0,20,True,20
49.261403,-123.070102,17,9,2024-05-22T04:41:23.558000Z,1716352317,6,3,26,True,26
49.261263,-123.073707,9,5,2024-05-22T04:41:23.497000Z,1716352727,5,0,14,True,14
49.262242,-123.081459,10,8,2024-05-22T04:41:23.488000Z,1716352312,7,1,18,True,18
49.262321,-123.09306,5,9,2024-05-22T04:41:23.316000Z,1716352312,7,2,14,True,14
49.264251,-123.073853,5,6,2024-05-22T04:41:23.500000Z,1716352374,6,0,12,True,11
49.266751,-123.073501,5,8,2024-05-22T04:41:23.503000Z,1716352543,8,0,14,True,13
49.270684,-123.073562,8,3,2024-05-22T04:41:23.543000Z,1716352789,1,2,12,True,11
